Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Max Gross Exposure [%],Symbol,Strategy
-0.001269861633499942,-24.949355536967087,0.0012851757889487695,43.31983805668016,-1.7125604498987112e-06,0.000811999981430813,AAVEBTC,rsi_bb
-3.694055328749871e-06,-21.20261178524159,3.6956080719500393e-06,41.06280193236715,-5.944031829709942e-09,2.3325000000538206e-06,ADABTC,rsi_bb
-2.819985062499847e-07,-12.850828564300501,2.9575770096834873e-07,49.85422740524781,-8.204699672011234e-10,4.150000004447406e-07,ADXBTC,rsi_bb
-1.111508021249926e-06,-17.150834888960464,1.1699868878037218e-06,59.93031358885017,-1.2897222691636755e-09,9.350000000417407e-07,ALGOBTC,rsi_bb
1.4240136875000081e-07,14.079680171516879,1.732500720544404e-08,48.63387978142077,7.786616803278762e-10,7.000000000210965e-08,ANKRBTC,rsi_bb
-3.442781347499879e-05,-25.543800808389438,3.452847399557702e-05,50.30978934324659,-4.262594242564896e-08,1.915000657715744e-05,APTBTC,rsi_bb
-2.7870229962498863e-06,-29.17304774558777,2.8252098899450095e-06,42.20072551390569,-3.3647549818620243e-09,1.587499999950066e-06,ARBBTC,rsi_bb
1.5094398625000475e-07,10.126375464525339,2.8427507412150185e-08,57.01357466063348,6.843614762443654e-10,2.0249999969846937e-07,ARDRBTC,rsi_bb
-4.980878944999795e-06,-23.12531535016983,4.981055951702729e-06,48.429035752979416,-5.39327454767041e-09,2.9050000012069975e-06,ARKMBTC,rsi_bb
-2.2891063574998803e-05,-26.460995641185967,2.2891063451879745e-05,43.99066511085181,-2.6686677873394216e-08,1.5600000070002333e-05,ATOMBTC,rsi_bb
-4.9410019049997436e-05,-12.688846054328888,5.00789598508299e-05,51.85185185185185,-6.769002453703304e-08,4.992500984181998e-05,AUCTIONBTC,rsi_bb
-0.00012560248907499485,-29.174957256148645,0.0001265365234015798,41.6289592760181,-1.8858031221718706e-07,8.497499987431548e-05,AVAXBTC,rsi_bb
-2.22696706249994e-06,-22.42543027068836,2.2521439854881487e-06,46.12476370510397,-4.2062456214554615e-09,1.3550000000275497e-06,AXLBTC,rsi_bb
-2.6458905837498946e-05,-37.48392487469613,2.6514950220563266e-05,31.4878892733564,-3.049848490484315e-08,1.3349999993838182e-05,AXSBTC,rsi_bb
-0.00014071251067499543,-23.06309996210947,0.00014085406071728812,46.88,-2.2501369919999242e-07,9.36000001314582e-05,BANANABTC,rsi_bb
-4.391845378749877e-06,-23.571190902973377,4.6389728666364584e-06,41.451990632318505,-1.0275361361240927e-08,2.965000104671866e-06,BANDBTC,rsi_bb
-3.759470824999775e-07,-12.408300203507327,3.8234800569698095e-07,57.684630738522955,-7.488968712574403e-10,5.500000000128854e-07,BATBTC,rsi_bb
-0.001886250439124929,-38.37510334911017,0.0018874402718533996,20.792079207920793,-2.665978652227626e-06,0.00105000016926158,BCHBTC,rsi_bb
-3.5429040316248565e-05,-12.027275667800353,3.9765769967720614e-05,52.65423242467718,-5.028481598995485e-08,3.5162499018438814e-05,BERABTC,rsi_bb
-0.0030874952536249023,-38.23966150715344,0.0030902687464759993,26.87140115163148,-5.921078694817471e-06,0.001873528775294682,BNBBTC,rsi_bb
-1.5789859584999636e-05,-18.61464518736047,1.5795184551461905e-05,43.143297380585516,-2.4315861003466277e-08,8.085000568780254e-06,CAKEBTC,rsi_bb
6.521678750017533e-09,0.22510456898543257,1.7756030954590058e-07,61.31907308377896,1.2513836898430391e-11,3.9749999997091866e-07,CFXBTC,rsi_bb
-0.00021010729112499178,-20.615716805756115,0.0002201826645896625,49.34579439252336,-3.9230278738316185e-07,0.00017125000736882212,COMPBTC,rsi_bb
-3.4390980912498673e-06,-27.230018776937325,3.439098207991265e-06,46.03550295857988,-4.06757397337262e-09,1.9125000002723345e-06,CRVBTC,rsi_bb
-8.536062774999279e-07,-7.1442174792983355,9.915372332401012e-07,49.34579439252336,-1.5918821074764984e-09,1.41999999986724e-06,CTKBTC,rsi_bb
-4.1224205249996916e-07,-9.238353235397293,4.2143302891872736e-07,55.83756345177665,-6.963152157359931e-10,5.350000000042948e-07,CTXCBTC,rsi_bb
7.767227875005131e-08,1.0782547163910923,2.523875224202185e-07,75.53648068669528,1.1240090128763403e-10,8.049999999895685e-07,DOGEBTC,rsi_bb
-2.209945183749888e-05,-21.998938848019776,2.277487125987728e-05,46.26474442988204,-2.8936430307993432e-08,1.5799999964168773e-05,DOTBTC,rsi_bb
-0.00012395529951249516,-29.292814331413847,0.00012435937400765852,39.05635648754915,-1.6233128335517044e-07,7.35500001151783e-05,EGLDBTC,rsi_bb
-5.772119524999684e-07,-11.34992057238292,5.969673110215179e-07,56.81233933161953,-1.4679751735217615e-09,8.775000001275482e-07,ELFBTC,rsi_bb
-2.302750218749896e-06,-14.28181309214173,2.3292200091392346e-06,51.62064825930373,-2.762205378151142e-09,1.8999999996260265e-06,ENABTC,rsi_bb
-0.00014788888507499397,-27.818682932521618,0.00014801388516616498,37.76662484316186,-1.8537408030112117e-07,8.465000010752015e-05,ENSBTC,rsi_bb
-3.2558500237498475e-06,-29.40857901330791,3.255850174355146e-06,40.507859733978236,-3.933921833433919e-09,1.9825000013958727e-06,EOSBTC,rsi_bb
-0.00010711873128749634,-33.39777486585668,0.00010756771940075413,28.592162554426704,-1.5534368327285354e-07,6.62750003911852e-05,ETCBTC,rsi_bb
-0.011540087189999618,-28.879664542199112,0.011547954738883395,26.746506986027946,-2.2964437110777684e-05,0.00810499936226157,ETHBTC,rsi_bb
