Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Max Gross Exposure [%],Symbol,Strategy
-0.002415663545874914,-44.32649975356351,0.0024192585464533067,19.349005424954793,-2.1856350698462155e-06,0.0008120000228174391,AAVEBTC,sma_cross
-7.389780663749742e-06,-40.373851812853395,7.526041418918317e-06,17.152961980548188,-6.5291537135276186e-09,2.3325000000555697e-06,ADABTC,sma_cross
-4.996010537499788e-07,-19.903478142556033,5.127599251189273e-07,21.729490022172946,-1.1064828076496242e-09,4.3000000128496493e-07,ADXBTC,sma_cross
-2.937847387499913e-06,-41.98077754432037,3.082987570978777e-06,21.762114537444933,-2.587480387665108e-09,9.375000001470747e-07,ALGOBTC,sma_cross
-1.6971503499999937e-07,-16.13642695998728,1.7271305807375994e-07,4.926108374384237,-8.355729864532005e-10,7.250000000250308e-08,ANKRBTC,sma_cross
-5.811726742499815e-05,-40.09184964418241,5.81886827586086e-05,20.492524186455586,-5.108934871371886e-08,1.9300011093306065e-05,APTBTC,sma_cross
-4.275518161249834e-06,-41.48470754115258,4.421115740895627e-06,17.383669885864794,-3.752101656057797e-09,1.5875000006482888e-06,ARBBTC,sma_cross
-3.8399750749999254e-07,-23.558315690971266,3.86197413595854e-07,11.400651465798045,-1.2498293403908565e-09,2.1000000072676282e-07,ARDRBTC,sma_cross
-6.98396941999976e-06,-30.801110172377797,7.1771511333102844e-06,21.883408071748878,-6.258822090806958e-09,2.9199999986657478e-06,ARKMBTC,sma_cross
-5.267478506249841e-05,-55.01869727052979,5.341425516584149e-05,14.481576692373608,-4.511928399742804e-08,1.562500005321411e-05,ATOMBTC,sma_cross
-9.026928209999706e-05,-22.016781217184484,9.496694386676098e-05,25.19774011299435,-1.025192132203357e-07,5.132504574790425e-05,AUCTIONBTC,sma_cross
-0.0002191923693124922,-46.82231256777373,0.0002203905386313423,18.694096601073344,-1.9657322136627187e-07,8.555000022303323e-05,AVAXBTC,sma_cross
-1.7892678324999156e-06,-16.440012763076954,1.8868561805918812e-06,26.646706586826348,-2.675753684505857e-09,1.3800000116406503e-06,AXLBTC,sma_cross
-4.0474858437498615e-05,-51.75258357692923,4.047993958316838e-05,14.588859416445624,-3.577200620026395e-08,1.337500004799876e-05,AXSBTC,sma_cross
-0.0001046943217874945,-16.09404807771007,0.00012044066380070694,25.94142259414226,-1.4597670591003452e-07,9.437500013364414e-05,BANANABTC,sma_cross
-3.440715527499833e-06,-16.688613541257748,3.9431194619833245e-06,27.427597955706982,-5.901036139267176e-09,2.9950000500110547e-06,BANDBTC,sma_cross
-1.3783104549999669e-06,-39.373423200443426,1.3856587058972338e-06,17.595307917888565,-2.019882998533671e-09,5.525000000728625e-07,BATBTC,sma_cross
-0.0028486052452498926,-53.204453910347866,0.002865213635493161,14.42392260334213,-2.506330663588299e-06,0.0010520001718234404,BCHBTC,sma_cross
-4.763334428499829e-05,-13.059541360308101,6.138921011083363e-05,24.299065420560748,-5.600209737879473e-08,3.866249681540308e-05,BERABTC,sma_cross
-0.0050552998336248055,-55.982515718423514,0.005055299833486515,13.94275161588181,-4.6617659999998224e-06,0.0019017839662399132,BNBBTC,sma_cross
-1.637555707374931e-05,-18.884520208496422,1.689184628422551e-05,22.18214607754734,-1.475806247069369e-08,8.352499987326974e-06,CAKEBTC,sma_cross
-1.0902488012499775e-06,-34.220417869620064,1.1039573733647553e-06,16.22002820874471,-1.5370242842030722e-09,4.0250000003092783e-07,CFXBTC,sma_cross
-0.0002688911702499894,-23.61750187357244,0.00027506572736851054,24.577572964669738,-4.130806382488337e-07,0.0001720000048294785,COMPBTC,sma_cross
-4.721456907499837e-06,-35.00597590190098,4.8927976963863225e-06,20.763087843833187,-4.187629834738092e-09,1.9174999996230854e-06,CRVBTC,sma_cross
-3.256688241249884e-06,-25.239888334009805,3.302785130251854e-06,23.0188679245283,-4.1002910613206065e-09,1.4300000002592872e-06,CTKBTC,sma_cross
-1.60176627374996e-06,-33.12959072202057,1.6029735405515888e-06,19.556714471968707,-2.0874139683832635e-09,5.375000000215082e-07,CTXCBTC,sma_cross
-4.829321244999921e-06,-62.93885968359534,4.82932199474817e-06,11.327077747989277,-3.236209581936945e-09,8.075000002277588e-07,DOGEBTC,sma_cross
-5.1116483312498296e-05,-47.359722837644775,5.119311291308996e-05,16.28303495311168,-4.3559699744244044e-08,1.5825000062840346e-05,DOTBTC,sma_cross
-0.00023090676741249172,-50.13956284959574,0.00023130391166952595,16.33705932932072,-1.9852547260317476e-07,7.37000004233139e-05,EGLDBTC,sma_cross
-1.3400409687499556e-06,-23.978153064184212,1.4286401169404408e-06,21.181262729124235,-2.7268103080447146e-09,8.874999999704834e-07,ELFBTC,sma_cross
-5.713211298749848e-06,-33.875832895395185,5.770401697432512e-06,20.0,-4.960044951298561e-09,1.920000000633258e-06,ENABTC,sma_cross
-0.0002351441127749921,-40.86038122326297,0.0002377148745911993,19.244935543278086,-2.1648094461325273e-07,8.562499833062659e-05,ENSBTC,sma_cross
-6.773034704999799e-06,-55.416253235897294,6.788603669258832e-06,15.766923736075409,-5.801660700513981e-09,2.0050000025807055e-06,EOSBTC,sma_cross
-0.00020037248973749352,-57.5709224553209,0.00020054856895727422,12.4031007751938,-1.72425242183457e-07,6.662500046042587e-05,ETCBTC,sma_cross
-0.022470128973749084,-51.688539907563325,0.022527996593298842,11.921708185053381,-2.0015780184607745e-05,0.008114998346795597,ETHBTC,sma_cross
