Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Max Gross Exposure [%],Symbol,Strategy
-4.190731512499824e-06,-6.014797760939319,4.886367364065336e-06,10.457516339869281,-2.467066593137138e-08,1.3125000006368128e-05,AXSBTC,vwap_reversion
-3.092276377499978e-05,-5.016615615346729,4.039056942417574e-05,64.28571428571429,-6.9470336651785e-07,9.250000012838653e-05,BANANABTC,vwap_reversion
-2.3732729124999313e-07,-1.2698946314311872,6.565049369876905e-07,82.92682926829268,2.65671237804903e-09,2.8475000001216643e-06,BANDBTC,vwap_reversion
2.0301568750005336e-08,0.660512399784765,1.3821750144283175e-07,92.7710843373494,7.047600903614938e-10,5.37500000004335e-07,BATBTC,vwap_reversion
-0.0005484539726249872,-11.681255007124966,0.0005624539725772593,0.0,-2.861250122641416e-06,0.0010327500160039217,BCHBTC,vwap_reversion
-7.069271626249774e-06,-1.765641977778987,1.8912499705140207e-05,72.94117647058823,-2.7562054455879832e-08,2.7492500420315087e-05,BERABTC,vwap_reversion
-0.0008059461091249723,-10.531916636978018,0.0009444766186561537,0.0,-5.497861886627691e-06,0.0016440116930702816,BNBBTC,vwap_reversion
-3.2692335549999846e-06,-3.8639250633433813,5.709233548145676e-06,11.76470588235294,-6.858899779411702e-08,4.875000000356603e-06,CAKEBTC,vwap_reversion
-4.1998581249996024e-08,-1.4236790413032183,1.349999933962687e-07,89.79591836734694,-2.356118877550398e-10,3.925000000023116e-07,CFXBTC,vwap_reversion
3.709092500000757e-06,0.36263658429072176,4.30872430200095e-05,82.1917808219178,2.2829142123288843e-07,0.0001695000004310974,COMPBTC,vwap_reversion
-5.010015574999741e-07,-3.9953323089572748,7.653800081868535e-07,43.57976653696498,-1.9416477577819803e-09,1.8800000000530338e-06,CRVBTC,vwap_reversion
4.3935490625001436e-07,3.679992675318406,3.1499999350004863e-07,63.39869281045751,3.308541102941264e-09,1.40499999976195e-06,CTKBTC,vwap_reversion
4.448908125000606e-08,0.9809463317676165,1.245164895635753e-07,92.92929292929293,6.079429166667023e-10,5.275000000041752e-07,CTXCBTC,vwap_reversion
3.080013500003827e-08,0.4328940321636439,2.2445992438791134e-07,97.79411764705883,2.3110408088243688e-10,7.950000000094835e-07,DOGEBTC,vwap_reversion
-5.5721679249998655e-06,-5.660882373799432,6.622167873615581e-06,28.47682119205298,-2.6678802317879752e-08,1.5450000015671346e-05,DOTBTC,vwap_reversion
-3.6022640274998034e-05,-8.621610260577144,3.747264004516637e-05,19.574468085106382,-1.2377183632978046e-07,7.257500034065707e-05,EGLDBTC,vwap_reversion
1.5890802250000393e-07,3.161702204341526,1.5499999505541603e-07,93.02325581395348,3.606805290697769e-09,8.549999999681549e-07,ELFBTC,vwap_reversion
-5.120693812499854e-07,-3.176255277878028,7.853570451743508e-07,55.45454545454545,-4.456409181818067e-09,1.877500000076643e-06,ENABTC,vwap_reversion
-2.489281016249821e-05,-4.714320730747041,2.7296382989589323e-05,28.155339805825243,-9.752366923542717e-08,8.290000041180898e-05,ENSBTC,vwap_reversion
-5.941691549999775e-07,-5.447309058921284,6.489309498647344e-07,28.455284552845526,-4.36386146341447e-09,1.9475000008227405e-06,EOSBTC,vwap_reversion
-4.5705568649998085e-05,-14.870502015311818,4.583056855267387e-05,5.7507987220447285,-1.2939718873801276e-07,6.530000006398267e-05,ETCBTC,vwap_reversion
-0.005141371676249764,-13.401766651214729,0.00521387167633236,3.900709219858156,-1.7228774734041695e-05,0.007957500950143815,ETHBTC,vwap_reversion
-9.757678924998342e-07,-5.522147482563996,1.0712235791743296e-06,21.629213483146067,-2.6624562219097103e-09,2.5100000005999218e-06,FETBTC,vwap_reversion
-3.874945549999967e-06,-5.6681245447746305,4.504924831052306e-06,18.803418803418804,-2.3821259294871312e-08,1.1625000001421827e-05,FILBTC,vwap_reversion
-3.312117974999968e-07,-4.164023253789215,4.842532774773645e-07,55.55555555555556,-2.2752152777777177e-09,1.5750000000372218e-06,FLOWBTC,vwap_reversion
-5.583266504999923e-06,-3.9028849297805492,7.553273674735921e-06,50.0,-5.1157266562498895e-08,1.1830000499871895e-05,FORTHBTC,vwap_reversion
-1.1697167874998994e-06,-1.8124455667773292,3.591211593951752e-06,50.0,-1.4342253571427425e-08,1.1875000028255792e-05,GASBTC,vwap_reversion
-5.093071724999954e-07,-4.036429874806838,6.565118723081556e-07,63.829787234042556,-6.978778882978626e-09,8.95000002812543e-07,GLMBTC,vwap_reversion
4.851900625000564e-08,1.5594453316266519,1.5065646152834233e-07,96.03960396039604,5.598399133663889e-10,4.37500000002872e-07,GRTBTC,vwap_reversion
2.2470216875002107e-07,2.6990544778837604,2.2663749622554846e-07,97.85575048732943,5.27452485380169e-10,7.425000000082723e-07,HBARBTC,vwap_reversion
-7.325000087499498e-06,-6.128735929378939,7.988274062503596e-06,23.404255319148938,-2.541721946808296e-08,2.2525000007613168e-05,ICPBTC,vwap_reversion
-4.163449937499712e-07,-2.5787019929037664,9.21900223483876e-07,60.0,-2.2467679499997873e-09,2.732500000112036e-06,IMXBTC,vwap_reversion
-1.1421601374999262e-05,-3.3716478725563475,1.8630473988423546e-05,46.10778443113773,-5.71266179640686e-08,4.9150000036247916e-05,INJBTC,vwap_reversion
-4.0962067499990894e-08,-0.7534857221195389,2.525000013445453e-07,94.0828402366864,-1.6320184171592388e-10,7.400000000082168e-07,IOTABTC,vwap_reversion
-2.3961255274999906e-06,-4.903448506300515,5.006125562090347e-06,75.60975609756098,-8.362712103658242e-09,3.832500020512386e-06,KAITOBTC,vwap_reversion
